nombre,descripcion,precio
Cuaderno A5,Cuaderno rayado de tapa blanda con 80 hojas,4.50
Bolígrafo Azul,Bolígrafo de tinta azul con punta fina,1.20
Mochila Urbana,Mochila ligera con compartimento para portátil,29.90
Ratón Inalámbrico,Ratón óptico con conexión Bluetooth,12.99
Teclado Mecánico,Teclado con retroiluminación LED,44.90
Altavoz Portátil,Altavoz Bluetooth resistente al agua,22.50
Termo de Acero,Termo de 500 ml que mantiene temperatura 12h,15.00
Taza Cerámica,Taza blanca de cerámica de 350 ml,3.75
Auriculares Intraurales,Auriculares con cancelación pasiva de ruido,9.80
Lámpara de Escritorio,Lámpara LED con brazo articulado,18.50
"Monitor 24""",Monitor Full HD con panel IPS,129.00
Silla Ergonómica,Silla ajustable con soporte lumbar,89.99
Alfombrilla de Ratón,Alfombrilla antideslizante de 25x20 cm,2.95
Pendrive 32GB,Memoria USB 3.0 de alta velocidad,7.49
Disco SSD 512GB,SSD interno de lectura rápida,45.00
Cargador USB-C,Cargador rápido de 25W,11.95
Cable HDMI 2m,Cable HDMI de alta calidad 4K,6.50
Hub USB 4 puertos,Concentrador USB con 4 entradas 3.0,14.20
Carpeta A4,Carpeta con anillas metálicas,2.10
Lápiz HB,Lápiz de grafito con goma incorporada,0.50
Sobres DL,Paquete de 50 sobres blancos autoadhesivos,2.90
Archivador,Archivador de palanca con etiqueta lateral,3.60
Botella Deportiva,Botella reutilizable de 750 ml,8.40
Post-it Amarillos,Bloque de 100 notas adhesivas,1.80
Regleta 5 tomas,Regleta con interruptor general,9.70
Martillo de Carpintero,Martillo de acero de 300 g mango ergonómico,6.80
Destornillador Plano,Destornillador punta plana 5 mm,3.20
Juego de Llaves Allen,Set de 10 llaves métricas,7.00
Caja de Herramientas,Caja de plástico de 40 cm con bandeja,12.90
Pintura Acrílica Blanca,Bote de pintura acrílica de 250 ml,4.20
Rodillo de Pintura,Rodillo de espuma 18 cm con mango,3.95
Cinta Métrica 5m,Cinta profesional recubierta de nylon,5.60
Taladro Eléctrico,Taladro de 500W con percutor,39.90
Linterna LED,Linterna metálica recargable,14.99
Cargador Solar,Panel solar portátil para móviles,24.50
Casco de Obra,Casco de seguridad regulable,11.00
Guantes de Trabajo,Guantes resistentes antideslizantes,4.30
Gafas de Protección,Gafas transparentes antiimpacto,2.80
Caja de Tornillos,Set surtido de 300 tornillos,6.40
Spray Lubricante,Spray multiusos 400 ml,5.10
Barra de Siliconas,Paquete de 10 barritas para pistola termofusible,3.70
Pistola de Silicona,Pistola eléctrica termofusible,9.90
Escuadra Metálica,Escuadra de acero de 30 cm,4.10
Nivel Láser,Nivel de línea horizontal y vertical,27.90
Cepillo Metálico,Cepillo para limpieza de óxido,2.60
Esponja Multiuso,Esponja suave para limpieza general,0.90
Ambientador de Oficina,Aromatizante en spray 250 ml,2.75
Caja Organizadora,Caja de plástico transparente con separadores,8.00
Rotulador Permanente,Rotulador negro resistente al agua,1.50
